ID;DESC_CLASIFICACION;COD_BARRIO;BARRIO;COD_DISTRITO;DISTRITO;ESTADO;COORD_GIS_X;COORD_GIS_Y;SISTEMA_COORD;LATITUD;LONGITUD;TIPO_VIA;NOM_VIA;NUM_VIA;COD_POSTAL;DIRECCION_AUX;NDP;FECHA_INSTALACION;CODIGO_INTERNO;CONTRATO_COD;TIPO;TOTAL_ELEM
"3580437";"Zona canina";"204";"ARCOS";"20";"SAN BLAS-CANILLEJAS";"OPERATIVO";"448123.849";"4474628.127";"ETRS89";40.42066520;-3.61150294;"AVENIDA";"CANILLEJAS A VICALVARO";"90";"28032";;"20099741";"2004-01-01 00:00:00.0";"C2075";"AE21";"CANINAS";0
"3580438";"Zona canina";"204";"ARCOS";"20";"SAN BLAS-CANILLEJAS";"OPERATIVO";"447175.075";"4474588.405";"ETRS89";40.42024767;-3.62268293;"CALLE";"ARCOS DEL JALON";"16";"28037";;"11135550";"2004-01-01 00:00:00.0";"C2076";"AE21";"CANINAS";0
"3580439";"Zona canina";"207";"CANILLEJAS";"20";"SAN BLAS-CANILLEJAS";"OPERATIVO";"448272.94";"4477027.173";"ETRS89";40.44228657;-3.60994083;"CALLE";"CIRCE";"59";"28022";;"31011562";"2004-01-01 00:00:00.0";"C2077";"AE21";"CANINAS";5
"3580440";"Zona canina";"204";"ARCOS";"20";"SAN BLAS-CANILLEJAS";"OPERATIVO";"447254.342";"4474722.714";"ETRS89";40.42146263;-3.62175975;"CALLE";"ARCOS DE JALON";"13";"28037";"ARCOS DEL JALON 13";"31032028";"2016-05-01 00:00:00.0";"C2078";"AE21";"CANINAS";0
"3580441";"Zona canina";"205";"ROSAS";"20";"SAN BLAS-CANILLEJAS";"OPERATIVO";"448200.581";"4474521.551";"ETRS89";40.41970987;-3.61058981;"AVENIDA";"CANILLEJAS A VICALVARO";"167";"28032";"CANILLEJAS A VICALVARO 167";"20099671";"2016-09-01 00:00:00.0";"C2079";"AE21";"CANINAS";0
"4991235";"Zona canina";"206";"REJAS";"20";"SAN BLAS-CANILLEJAS";"OPERATIVO";"450690.881";"4477077.64";"ETRS89";40.44288812;-3.58143496;"CALLE";"NAVARIDAS";"11";"28022";;"20090546";"2014-02-11 00:00:00.0";"C2080";"AE21";"CANINAS";5
"4991255";"Zona canina";"206";"REJAS";"20";"SAN BLAS-CANILLEJAS";"OPERATIVO";"450964.069";"4477581.601";"ETRS89";40.44744428;-3.57825269;"CALLE";"NAVARIDAS";"5";"28022";;"20090537";"2014-11-12 00:00:00.0";"C2081";"AE21";"CANINAS";5
"4996484";"Zona canina";"076";"VALLEHERMOSO";"07";"CHAMBERI";"OPERATIVO";"440043.246";"4476898.109";"ETRS89";40.44057120;-3.70696275;"PLAZA";"TENIENTE DE ALCALDE PEREZ PILLADO";"6";"28003";"CV C/ LUCIO DEL VALLE";"31044168";"2004-01-01 00:00:00.0";"C0703";"AE21";"CANINAS";5
"4996493";"Zona canina";"121";"ORCASITAS";"12";"USERA";"OPERATIVO";"438935.05";"4468775.845";"ETRS89";40.36732147;-3.71924951;"CALLE";"SEGURA";"74";"28041";"CALLE DE SEGURA 74, 28041 Madrid";"11079509";"2013-08-01 00:00:00.0";"C1272";"AE21";"CANINAS";11
"4996495";"Zona canina";"114";"VISTA ALEGRE";"11";"CARABANCHEL";"OPERATIVO";"436181.12";"4470260.336";"ETRS89";40.38048815;-3.75183252;"CALLE";"PINGÜINO";"12";"28047";"PINGÜINO, 000012";"11074939";"2013-08-01 00:00:00.0";"C1179";"AE21";"CANINAS";0
"4996497";"Zona canina";"123";"SAN FERMIN";"12";"USERA";"OPERATIVO";"441488.188";"4468702.395";"ETRS89";40.36684289;-3.68917291;"CALLE";"CORINDON";"10";"28041";"CORINDÓN, 000010";"31005121";"2013-08-01 00:00:00.0";"C1271";"AE21";"CANINAS";0
"4996498";"Zona canina";"121";"ORCASITAS";"12";"USERA";"OPERATIVO";"440078.712";"4468772.771";"ETRS89";40.36737676;-3.70577965;"RONDA";"COOPERATIVAS";"2";"28041";"RDA COOPERATIVAS, 000002";"11080736";"2013-08-01 00:00:00.0";"C1270";"AE21";"CANINAS";10
"4996500";"Zona canina";"116";"BUENAVISTA";"11";"CARABANCHEL";"OPERATIVO";"435519.991";"4469044.38";"ETRS89";40.36948341;-3.75949745;"CAMINO";"CRUCES";"58";"28044";"CMNO CRUCES, 000058";"20145404";"2013-08-01 00:00:00.0";"C1174";"AE21";"CANINAS";0
"4996514";"Zona canina";"193";"VALDERRIVAS";"19";"VICALVARO";"OPERATIVO";"448519.292";"4471591.192";"ETRS89";40.39333104;-3.60659614;"CALLE";"MINERVA";"161";"28032";"MINERVA, 000161";"20180448";"2013-08-01 00:00:00.0";"C1970";"AE21";"CANINAS";0
"4996516";"Zona canina";"191";"CASCO HISTORICO DE VICALVARO";"19";"VICALVARO";"OPERATIVO";"448593.677";"4472879.434";"ETRS89";40.40494099;-3.60582373;"CALLE";"AMBROZ";"2  B";"28032";"AMBROZ, 000002  B";"11132724";"2013-08-01 00:00:00.0";"C1980";"AE21";"CANINAS";0
"4996517";"Zona canina";"192";"VALDEBERNARDO";"19";"VICALVARO";"OPERATIVO";"447373.106";"4472266.328";"ETRS89";40.39934147;-3.62015668;"PLAZA";"JUAN ROF CARBALLO";"4";"28032";"PZ JUAN ROF CARBALLO, 000004";"20144607";"2013-08-01 00:00:00.0";"C1973";"AE21";"CANINAS";0
"4996518";"Zona canina";"192";"VALDEBERNARDO";"19";"VICALVARO";"OPERATIVO";"446942.043";"4472616.321";"ETRS89";40.40246708;-3.62526523;"CALLE";"LADERA DE LOS ALMENDROS";"14G";"28032";"LADERA DE LOS ALMENDROS, 000014  G";"20151606";"2013-08-01 00:00:00.0";"C1975";"AE21";"CANINAS";0
"4996519";"Zona canina";"191";"CASCO HISTORICO DE VICALVARO";"19";"VICALVARO";"OPERATIVO";"447748.871";"4473290.648";"ETRS89";40.40859288;-3.61581299;"AVENIDA";"DAROCA";"301";"28032";"AVDA DAROCA, 000301";"31041869";"2013-08-01 00:00:00.0";"C1976";"AE21";"CANINAS";0
"4996520";"Zona canina";"192";"VALDEBERNARDO";"19";"VICALVARO";"OPERATIVO";"447610.431";"4472911.253";"ETRS89";40.40516634;-3.61741327;"CAMINO";"VIEJO DE VICALVARO";"16";"28032";"CMNO VIEJO DE VICÁLVARO, 000016";"20108197";"2013-08-01 00:00:00.0";"C1978";"AE21";"CANINAS";0
"4996521";"Zona canina";"192";"VALDEBERNARDO";"19";"VICALVARO";"OPERATIVO";"447117.925";"4472343.894";"ETRS89";40.40002407;-3.62317002;"CALLE";"PINILLAS";"11";"28032";"PINILLAS, 000011";"20124628";"2013-08-01 00:00:00.0";"C1972";"AE21";"CANINAS";0
"4996522";"Zona canina";"191";"CASCO HISTORICO DE VICALVARO";"19";"VICALVARO";"OPERATIVO";"448852.37";"4472810.676";"ETRS89";40.40433750;-3.60276966;"CALLE";"MERCURIO";"69";"28032";"MERCURIO, 000069";"11132675";"2013-08-01 00:00:00.0";"C1979";"AE21";"CANINAS";0
"4996523";"Zona canina";"192";"VALDEBERNARDO";"19";"VICALVARO";"OPERATIVO";"447198.01";"4472609.468";"ETRS89";40.40242161;-3.62224837;"PLAZA";"ROSA CHACEL";"10";"28032";"PZ ROSA CHACEL, 000010";"20144587";"2013-08-01 00:00:00.0";"C1974";"AE21";"CANINAS";0
"4996524";"Zona canina";"192";"VALDEBERNARDO";"19";"VICALVARO";"OPERATIVO";"446793.486";"4471901.678";"ETRS89";40.39601964;-3.62695608;"CALLE";"LADERA DE LOS ALMENDROS";"46";"28032";"LADERA DE LOS ALMENDROS, 000046";"31010689";"2013-08-01 00:00:00.0";"C1977";"AE21";"CANINAS";0
"4996525";"Zona canina";"192";"VALDEBERNARDO";"19";"VICALVARO";"OPERATIVO";"447457.698";"4472526.886";"ETRS89";40.40169409;-3.61918141;"PLAZA";"JUAN CARLOS ONETTI";"3";"28032";"PZ JUAN CARLOS ONETTI, 000003";"20144590";"2013-08-01 00:00:00.0";"C1971";"AE21";"CANINAS";0
"4996526";"Zona canina";"126";"ZOFIO";"12";"USERA";"OPERATIVO";"439589.195";"4470564.615";"ETRS89";40.38348330;-3.71171480;"AVENIDA";"RAFAELA YBARRA";"33";"28026";"AVDA RAFAELA YBARRA, 000033";"11086585";"2013-08-01 00:00:00.0";"C1273";"AE21";"CANINAS";22
"4996527";"Zona canina";"175";"ANGELES";"17";"VILLAVERDE";"OPERATIVO";"440883.071";"4468373.592";"ETRS89";40.36383816;-3.69626921;"CALLE";"MENASALBAS";"8";"28041";"MENASALBAS, 000008";"11129131";"2013-08-01 00:00:00.0";"C1772";"AE21";"CANINAS";0
"4996528";"Zona canina";"173";"BUTARQUE";"17";"VILLAVERDE";"OPERATIVO";"442412.597";"4467098.398";"ETRS89";40.35245748;-3.67814082;"AVENIDA";"LOS ROSALES";"129";"28021";"AVDA LOS ROSALES, 000129";"31051872";"2013-08-01 00:00:00.0";"C1773";"AE21";"CANINAS";0
"4996529";"Zona canina";"174";"LOS ROSALES";"17";"VILLAVERDE";"OPERATIVO";"441586.511";"4467514.835";"ETRS89";40.35615155;-3.68790615;"CALLE";"COALICION";"35A";"28041";"COALICIÓN, 000035  A";"20079680";"2013-08-01 00:00:00.0";"C1770";"AE21";"CANINAS";0
"4996530";"Zona canina";"171";"VILLAVERDE ALTO - CASCO HISTORICO DE VILLAVERDE";"17";"VILLAVERDE";"OPERATIVO";"439130.516";"4466937.882";"ETRS89";40.35077841;-3.71677202;"CALLE";"AFLUENTES";"12";"28021";"AFLUENTES, 000012";"20177587";"2013-08-01 00:00:00.0";"C1774";"AE21";"CANINAS";0
"4996531";"Zona canina";"175";"ANGELES";"17";"VILLAVERDE";"OPERATIVO";"441074.72";"4466883.522";"ETRS89";40.35042830;-3.69387454;"CALLE";"SANTIAGO AMON";"4";"28021";"ALCOCER, 000001";"20047452";"2013-08-01 00:00:00.0";"C1775";"AE21";"CANINAS";0
"4996532";"Zona canina";"171";"VILLAVERDE ALTO - CASCO HISTORICO DE VILLAVERDE";"17";"VILLAVERDE";"OPERATIVO";"439768.245";"4465956.619";"ETRS89";40.34198492;-3.70917037;"PLAZA";"GOMEZ ACEBO";"1";"28021";"PZ GÓMEZ ACEBO, 000001";"11123596";"2013-08-01 00:00:00.0";"C1771";"AE21";"CANINAS";0
"4996533";"Zona canina";"114";"VISTA ALEGRE";"11";"CARABANCHEL";"OPERATIVO";"437199.724";"4470773.448";"ETRS89";40.38518788;-3.73988416;"PASEO";"MARCELINO CAMACHO";"6";"28025";"PASEO MARCELINO CAMACHO, 000006";"20022926";"2013-08-01 00:00:00.0";"C1172";"AE21";"CANINAS";0
"4996536";"Zona canina";"113";"SAN ISIDRO";"11";"CARABANCHEL";"OPERATIVO";"437889.795";"4471823.089";"ETRS89";40.39469526;-3.73185704;"CALLE";"FAROLILLO";"2";"28019";"FAROLILLO, 000002";"20064485";"2013-08-01 00:00:00.0";"C1175";"AE21";"CANINAS";0
"4996537";"Zona canina";"112";"OPAÑEL";"11";"CARABANCHEL";"OPERATIVO";"438471.021";"4471152.818";"ETRS89";40.38870029;-3.72494411;"CALLE";"PORTALEGRE";"28";"28019";"PORTALEGRE, 000028";"11070274";"2013-08-01 00:00:00.0";"C1176";"AE21";"CANINAS";0
"4996540";"Zona canina";"115";"PUERTA BONITA";"11";"CARABANCHEL";"OPERATIVO";"436785.45";"4470060.085";"ETRS89";40.37873026;-3.74469379;"CALLE";"CONDE DE MORPHY";"6";"28025";"CONDE DE MORPHY, 000006";"31005845";"2013-08-01 00:00:00.0";"C1178";"AE21";"CANINAS";0
"4996546";"Zona canina";"181";"CASCO HISTORICO DE VALLECAS";"18";"VILLA DE VALLECAS";"OPERATIVO";"447608.946";"4469177.71";"ETRS89";40.37153198;-3.61712370;"CALLE";"VILLAR DEL POZO";"4E";"28031";"VILLAR DEL POZO, 000004  E";"20180003";"2013-08-01 00:00:00.0";"C1871";"AE21";"CANINAS";0
"4996547";"Zona canina";"181";"CASCO HISTORICO DE VALLECAS";"18";"VILLA DE VALLECAS";"OPERATIVO";"447128.4";"4469290.162";"ETRS89";40.37251468;-3.62279315;"CALLE";"CABEZA MESADA";"36";"28031";"CABEZA MESADA, 000036";"31025427";"2013-08-01 00:00:00.0";"C1872";"AE21";"CANINAS";0
"4996548";"Zona canina";"146";"VINATEROS";"14";"MORATALAZ";"OPERATIVO";"445977.386";"4472524.316";"ETRS89";40.40157621;-3.63662483;"CALLE";"HACIENDA DE PAVONES";"209";"28030";"HACIENDA DE PAVONES, 000209";"31044614";"2013-08-01 00:00:00.0";"C1470";"AE21";"CANINAS";0
"4996549";"Zona canina";"143";"MARROQUINA";"14";"MORATALAZ";"OPERATIVO";"445282.316";"4473361.787";"ETRS89";40.40907527;-3.64488733;"CALLE";"CAMINO DE LOS VINATEROS";"107 C";"28030";"CAMINO DE LOS VINATEROS, 000107  C";"31046138";"2013-08-01 00:00:00.0";"C1471";"AE21";"CANINAS";14
"4996550";"Zona canina";"141";"PAVONES";"14";"MORATALAZ";"OPERATIVO";"446426.165";"4472604.243";"ETRS89";40.40232524;-3.63134326;"CALLE";"VALDEBERNARDO";"18  B";"28030";"VALDEBERNARDO, 000018  B";"31003522";"2013-08-01 00:00:00.0";"C1473";"AE21";"CANINAS";0
"4996551";"Zona canina";"145";"FONTARRON";"14";"MORATALAZ";"OPERATIVO";"445385.771";"4472263.199";"ETRS89";40.39918532;-3.64357385;"CALLE";"ENCOMIENDA DE PALACIOS";"170P";"28030";"ENCOMIENDA DE PALACIOS, 000170  P";"31003513";"2013-08-01 00:00:00.0";"C1472";"AE21";"CANINAS";0
"4996553";"Zona canina";"141";"PAVONES";"14";"MORATALAZ";"OPERATIVO";"445848.798";"4471807.304";"ETRS89";40.39510857;-3.63807909;"CALLE";"ARROYO FONTARRON";"361";"28030";"ARROYO FONTARRÓN, 000361";"11101201";"2013-08-01 00:00:00.0";"C1474";"AE21";"CANINAS";0
"4996554";"Zona canina";"136";"NUMANCIA";"13";"PUENTE DE VALLECAS";"OPERATIVO";"443878.108";"4472468.018";"ETRS89";40.40093020;-3.66135709;"CALLE";"FERNANDO GIRALDEZ";"32";"28038";"FERNANDO GIRÁLDEZ, 000032";"31018768";"2013-08-01 00:00:00.0";"C1371";"AE21";"CANINAS";0
"4996556";"Zona canina";"135";"PORTAZGO";"13";"PUENTE DE VALLECAS";"OPERATIVO";"445018.734";"4470815.131";"ETRS89";40.38611608;-3.64777373;"CALLE";"TANGER";"9";"28018";"TÁNGER, 000009";"11098004";"2013-08-01 00:00:00.0";"C1372";"AE21";"CANINAS";0
"4996559";"Zona canina";"131";"ENTREVIAS";"13";"PUENTE DE VALLECAS";"OPERATIVO";"442856.613";"4469568.079";"ETRS89";40.37473641;-3.67313377;"RONDA";"SUR";"6 D";"28053";"RDA SUR, 000006  D";"31060375";"2013-08-01 00:00:00.0";"C1374";"AE21";"CANINAS";16
